"","time","value"
"1",1957-01-01,45.2186453100655
"2",1958-01-01,60.3359318828211
"3",1959-01-01,56.4602034648736
"4",1960-01-01,53.388486906121
"5",1961-01-01,39.3249417070658
"6",1962-01-01,39.354045563584
"7",1963-01-01,41.824893180808
"8",1964-01-01,54.8117178148667
"9",1965-01-01,31.080306914293
"10",1966-01-01,61.0994356268208
"11",1967-01-01,36.0409502981366
"12",1968-01-01,36.476253206829
"13",1969-01-01,53.4085490033789
"14",1970-01-01,51.5245594264234
"15",1971-01-01,27.2667401078755
"16",1972-01-01,43.3341195223551
"17",1973-01-01,53.7388340766761
"18",1974-01-01,26.7025533792935
"19",1975-01-01,29.1125969911092
"20",1976-01-01,28.7947102773569
"21",1977-01-01,45.8048809722067
"22",1978-01-01,53.3521077157888
"23",1979-01-01,50.1513476174686
"24",1980-01-01,58.0621371721587
"25",1981-01-01,36.7439745036355
"26",1982-01-01,47.7632074154935
"27",1983-01-01,55.1417893580981
"28",1984-01-01,49.3414399655383
"29",1985-01-01,40.7309156312844
"30",1986-01-01,55.9018159210016
"31",1987-01-01,59.5397168124315
"32",1988-01-01,50.085312651392
"33",1989-01-01,34.3127516508786
"34",1990-01-01,56.8553884528152
"35",1991-01-01,54.5404502062066
"36",1992-01-01,70.3484656124982
"37",1993-01-01,59.798611981551
"38",1994-01-01,45.6408535652221
"39",1995-01-01,70.0153710533592
"40",1996-01-01,41.8148709023832
"41",1997-01-01,47.7586124676437
"42",1998-01-01,48.6213978261336
"43",1999-01-01,23.2359363315388
"44",2000-01-01,30.0192856929788
"45",2001-01-01,36.1059592487689
"46",2002-01-01,47.0988508042864
"47",2003-01-01,70.2626985392808
"48",2004-01-01,56.4494918624915
"49",2005-01-01,49.0951321839925
"50",2006-01-01,48.9147432637735
"51",2007-01-01,55.9500951054833
"52",2008-01-01,33.8909760083281
"53",2009-01-01,42.8484787199065
"54",2010-01-01,62.7707203043728
"55",1957-02-01,67.0240374781468
"56",1958-02-01,87.4914460291443
"57",1959-02-01,76.815773142753
"58",1960-02-01,37.0252147099844
"59",1961-02-01,44.0386494166421
"60",1962-02-01,40.0275556615175
"61",1963-02-01,47.6779986803648
"62",1964-02-01,74.4267583324639
"63",1965-02-01,54.4505489178442
"64",1966-02-01,80.18246752261
"65",1967-02-01,44.3671423155145
"66",1968-02-01,52.298809878085
"67",1969-02-01,86.2267518616875
"68",1970-02-01,65.0886295870868
"69",1971-02-01,35.8643101848348
"70",1972-02-01,43.5853622814037
"71",1973-02-01,80.568805540177
"72",1974-02-01,38.330510867251
"73",1975-02-01,45.6003079517604
"74",1976-02-01,34.2593615552112
"75",1977-02-01,100.883909284341
"76",1978-02-01,70.9327122389967
"77",1979-02-01,65.3688282723164
"78",1980-02-01,74.5689323178099
"79",1981-02-01,47.0260559985409
"80",1982-02-01,65.3420251776043
"81",1983-02-01,70.6127392342717
"82",1984-02-01,54.7011348727769
"83",1985-02-01,39.1943214903921
"84",1986-02-01,50.1506436163482
"85",1987-02-01,73.0254286607097
"86",1988-02-01,50.9605088515296
"87",1989-02-01,35.0242466960044
"88",1990-02-01,32.8962133698112
"89",1991-02-01,58.8749974894676
"90",1992-02-01,83.1542637726622
"91",1993-02-01,53.5675608690242
"92",1994-02-01,58.3597268447954
"93",1995-02-01,78.630609436403
"94",1996-02-01,59.3976159978306
"95",1997-02-01,42.3496385424924
"96",1998-02-01,81.5928150368697
"97",1999-02-01,35.2960213495585
"98",2000-02-01,17.0461980121296
"99",2001-02-01,43.9686572004549
"100",2002-02-01,44.4794295140158
"101",2003-02-01,76.4559808359416
"102",2004-02-01,57.5966202415566
"103",2005-02-01,80.7859109757435
"104",2006-02-01,67.4084584896085
"105",2007-02-01,76.7300999402363
"106",2008-02-01,29.5804394921105
"107",2009-02-01,52.0708695837612
"108",2010-02-01,83.9000836028456
"109",1957-03-01,44.925807311057
"110",1958-03-01,71.2423188409177
"111",1959-03-01,63.7858060807049
"112",1960-03-01,62.0853835390501
"113",1961-03-01,75.388875327468
"114",1962-03-01,42.0404429992367
"115",1963-03-01,50.7894676679413
"116",1964-03-01,64.2023042190773
"117",1965-03-01,53.4887721866437
"118",1966-03-01,72.0661025294467
"119",1967-03-01,40.169821970457
"120",1968-03-01,29.1173756440268
"121",1969-03-01,57.0990561990198
"122",1970-03-01,31.4777767013627
"123",1971-03-01,20.2748687700308
"124",1972-03-01,41.9718689449493
"125",1973-03-01,60.8465862999302
"126",1974-03-01,48.246633112783
"127",1975-03-01,43.9170656883012
"128",1976-03-01,41.0793086776539
"129",1977-03-01,98.5417654336241
"130",1978-03-01,67.739977919375
"131",1979-03-01,64.3994487735833
"132",1980-03-01,81.1407435153751
"133",1981-03-01,56.5168526847947
"134",1982-03-01,55.7453797328973
"135",1983-03-01,69.7389255636465
"136",1984-03-01,74.4299668172451
"137",1985-03-01,20.9176263366801
"138",1986-03-01,53.0642409910737
"139",1987-03-01,78.1231844317313
"140",1988-03-01,79.9432165187264
"141",1989-03-01,70.9232750453533
"142",1990-03-01,63.5903927492944
"143",1991-03-01,68.2291376822668
"144",1992-03-01,69.1419870848107
"145",1993-03-01,95.0955189258043
"146",1994-03-01,71.8623435907099
"147",1995-03-01,85.8261221554825
"148",1996-03-01,63.5355694812387
"149",1997-03-01,73.8080858712204
"150",1998-03-01,60.0626372771253
"151",1999-03-01,48.1697073136237
"152",2000-03-01,64.2597267459247
"153",2001-03-01,57.3129060158254
"154",2002-03-01,71.0935881279495
"155",2003-03-01,74.0391924865402
"156",2004-03-01,67.9037465203964
