"","time","value"
"1974-07",51367,18.9217707799928
"1974-08",52328,74.4914560028081
"1974-09",51555,91.5591225230791
"1974-10",54219,88.1579545528529
"1974-11",53385,60.2543851491973
"1974-12",56110,-4.88561861629158
"1975-01",57071,29.1125969890638
"1975-02",52374,45.6003079571779
"1975-03",58900,43.9170656867553
"1975-04",57915,52.0740815323015
"1975-05",60791,71.2723169796807
"1975-06",59745,107.077683141549
"1975-07",62682,21.3188634139008
"1975-08",63643,73.6573064246385
"1975-09",62505,138.858128550052
"1975-10",65534,101.656851025617
"1975-11",64335,39.7793267786128
"1975-12",67425,0.514568290598157
"1976-01",68386,28.7947102733132
"1976-02",64844,34.2593615515567
"1976-03",70246,41.0793086781437
"1976-04",68895,83.1612293289447
"1976-05",72137,89.4127848549231
"1976-06",70725,114.158956735692
"1976-07",74028,153.806665715896
"1976-08",74989,89.7167963745104
"1976-09",73485,111.160568541866
"1976-10",76880,110.791713608555
"1976-11",75315,92.3123679305698
"1976-12",78771,66.8314967375877
"1977-01",79732,45.8048809743078
"1977-02",72842,100.883909285695
"1977-03",81561,98.5417654326061
"1977-04",79845,82.8238584540671
"1977-05",83452,92.4820338367553
"1977-06",81675,101.615284558565
"1977-07",85343,59.2268938228529
"1977-08",86304,76.8358171299537
"1977-09",84435,76.191882559016
"1977-10",88195,107.292062464525
"1977-11",86265,77.410737922606
"1977-12",90086,72.4571440240264
"1978-01",91047,53.3521077233355
"1978-02",83062,70.9327122363683
"1978-03",92876,67.7399779251328
"1978-04",90795,103.046656689578
"1978-05",94767,82.338274597323
"1978-06",92625,103.720201311413
"1978-07",96658,29.8217002429809
"1978-08",97619,80.3088906687124
"1978-09",95385,118.766956230597
"1978-10",99510,97.8137078869256
"1978-11",97215,69.4133886863467
"1978-12",101401,36.0403776863704
"1979-01",102362,50.1513476125721
"1979-02",93282,65.3688282711862
"1979-03",104191,64.3994487776728
"1979-04",101745,54.5159249941624
"1979-05",106082,126.262465788785
"1979-06",103575,104.395997284047
"1979-07",107973,71.7085913118071
"1979-08",108934,73.9211257673416
"1979-09",106335,90.3728963284238
"1979-10",110825,102.758776358295
"1979-11",108165,64.2018760354622
"1979-12",112716,71.428041808112
"1980-01",113677,58.0621371720965
"1980-02",107213,74.5689323181079
"1980-03",115537,81.1407435118557
"1980-04",112725,71.9650607246925
"1980-05",117428,118.901826366246
"1980-06",114555,97.3509484742819
"1980-07",119319,103.210765530461
"1980-08",120280,75.273939779443
