xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03
cpt:Y	30.187500000000000
cpt:X	-97.687500000000000
1957	70.466349777952431
1958	77.971193745372418
1959	52.392240430343655
1960	54.640210799809054
1961	43.793097968706967
1962	45.146480892155843
1963	47.977504330177723
1964	70.216346403336004
1965	67.826136404819550
1966	68.779962269627475
1967	48.814965297934378
1968	41.039326918802971
1969	56.400063132648334
1970	61.129708372939184
1971	43.066025437211977
1972	53.673264994599954
1973	47.184028447668091
1974	35.344853320204891
1975	39.015165678077665
1976	32.594209996668923
1977	60.945702663988577
1978	82.706835056528931
1979	38.576490178642523
1980	53.758251916326451
1981	29.289718610712654
1982	53.055132927417617
1983	73.090549701510682
1984	68.493134605109589
1985	83.790479516964709
1986	54.193406220598476
1987	93.460345267673318
1988	64.184362175210950
1989	31.617688900236452
1990	49.554452942000914
1991	68.177678555351221
1992	55.049050840214903
1993	48.659899239609523
1994	38.510083755146709
1995	65.098506185425677
1996	54.953516249203183
1997	65.527395754682288
1998	74.472325207289302
1999	57.773869985992789
2000	37.060778401735377
2001	41.517733676262644
2002	74.172570843786588
2003	51.823435354928151
2004	62.923878536278970
2005	65.485323986058262
2006	63.901753932632992
2007	65.137103312268806
2008	45.314179346532271
2009	40.656527273600943
2010	58.156758905001048
