xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	02
cpt:Y	29.687500000000000
cpt:X	-98.062500000000000
1957	53.718529804314059
1958	81.754604475038406
1959	70.486845015064446
1960	64.890687382296122
1961	53.492334330562862
1962	35.162792287281277
1963	46.113477243973520
1964	67.956392197687364
1965	50.680008239645979
1966	77.357474528559592
1967	44.786213912769327
1968	61.182955745156583
1969	74.887528831802854
1970	74.849231776641275
1971	39.555472398334601
1972	61.818186663959480
1973	83.832833883412917
1974	23.630878193940667
1975	36.334992960651732
1976	18.842705532767106
1977	87.143058260326256
1978	59.392573684697226
1979	53.721400244922549
1980	74.645366478982382
1981	51.534043793239903
1982	54.574737338087672
1983	69.550277766020358
1984	53.931548703203859
1985	31.128466112390900
1986	34.541692571757530
1987	62.937102254363829
1988	47.368944360647383
1989	26.995231059714428
1990	41.341969469226825
1991	68.550854272316116
1992	71.624534748590378
1993	62.002065528657766
1994	62.460844439210604
1995	69.957184509384859
1996	51.641828587926000
1997	35.270695643658122
1998	65.201216434543340
1999	33.015965064874109
2000	28.349794106198448
2001	43.179505593438066
2002	49.056082404146665
2003	66.646743004924872
2004	67.827460635688780
2005	69.059767724451646
2006	51.118269107915140
2007	84.514434136587155
2008	31.345339040421717
2009	45.599635495902845
2010	78.208356560534298
