xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	02
cpt:Y	30.312500000000000
cpt:X	-97.312500000000000
1957	79.403275872362187
1958	63.497864267355915
1959	59.188131227853233
1960	50.198545690959044
1961	57.911819465245053
1962	41.724432885645761
1963	53.678839600251415
1964	70.059199847472755
1965	71.091297979514309
1966	72.923366079915937
1967	64.805025678737934
1968	48.181716614548662
1969	80.619933397945232
1970	71.170503045501917
1971	46.746855338104474
1972	68.374134581099781
1973	76.359935558497313
1974	29.081278013184146
1975	61.771590397190494
1976	49.602019609156301
1977	108.58184801397884
1978	77.512513815874556
1979	57.263784134240858
1980	51.054067817551790
1981	55.065552414443161
1982	67.638007152481165
1983	124.47849439427499
1984	42.826119142181604
1985	32.738552187579074
1986	50.957671456054612
1987	84.950567570731607
1988	68.208408759422426
1989	47.434323864007759
1990	75.398432608583548
1991	56.716001736098825
1992	72.538574835615336
1993	64.683260865206861
1994	85.078584845077586
1995	94.546610958444063
1996	45.627528916409517
1997	69.464003832025696
1998	83.625985003407507
1999	34.471534561789305
2000	44.373961286066326
2001	78.913552107653089
2002	58.345624209380077
2003	82.512393409049793
2004	42.516896299702296
2005	72.736360145819916
2006	68.156924204217475
2007	74.779870196137381
2008	24.335116166031099
2009	34.488855832677956
2010	85.835240349754230
