xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	10
cpt:Y	29.312500000000000
cpt:X	-98.687500000000000
1957	90.987367713108327
1958	78.776271629687159
1959	90.544254920788049
1960	87.099052629705227
1961	83.841742131884160
1962	79.929752709875203
1963	95.006062433211042
1964	83.486335447150822
1965	98.960629462217938
1966	87.312290011914058
1967	90.216790045071392
1968	76.186807450091464
1969	84.092596430342880
1970	67.067205377710451
1971	77.800190599972154
1972	100.06776818628428
1973	67.831801065251710
1974	81.575400268779461
1975	72.130846260416575
1976	82.411666021317174
1977	82.665103406239268
1978	85.454097450977031
1979	90.954568685888148
1980	91.407728259769783
1981	77.467105831885860
1982	109.21090718754634
1983	90.894896412100124
1984	76.743807900442050
1985	72.412646374285586
1986	90.605317218915303
1987	89.447252815536174
1988	70.624711243111165
1989	84.640978225943357
1990	86.686159769860865
1991	80.684054510231690
1992	109.60982093569507
1993	101.54680096889334
1994	102.99284142230661
1995	94.161427021621378
1996	82.443332554537022
1997	127.73425058747068
1998	52.257187016402277
1999	46.942532965544544
2000	82.450348061490701
2001	80.944130202829726
2002	89.124028188520896
2003	81.091663915727523
2004	89.277013639059078
2005	83.405691215304842
2006	95.615174131648885
2007	87.817528516977973
2008	78.626615444960990
2009	90.424902939238237
2010	75.984468750158470
