xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	02
cpt:Y	30.187500000000000
cpt:X	-97.937500000000000
1957	69.890157567207098
1958	58.091113433868735
1959	55.154380173629065
1960	48.190040302662325
1961	54.072294677111302
1962	41.237120788220409
1963	50.934446163027701
1964	62.761965851132871
1965	63.375094657159408
1966	64.775401584152746
1967	59.768753835939513
1968	46.931880168873235
1969	71.603063277622965
1970	64.373991085794984
1971	46.038927708845478
1972	62.883929185034205
1973	68.780182034897308
1974	31.894434821158228
1975	57.280807977353696
1976	47.342662666506925
1977	96.133463940376714
1978	70.558537501949189
1979	53.823876118716463
1980	48.778918778935747
1981	52.497898662774645
1982	62.861786430807769
1983	115.31750377552959
1984	40.210488504801951
1985	32.206655701391021
1986	47.096266544466374
1987	76.912349454783609
1988	62.957189325397067
1989	46.093917233588897
1990	68.077045711682615
1991	52.269384196849622
1992	64.802759184403868
1993	58.695176960991006
1994	74.585064356316195
1995	82.475543161625481
1996	45.160831036240850
1997	59.115673915747664
1998	71.000857422631341
1999	37.071943732640896
2000	43.206672238395512
2001	71.794730584514696
2002	55.656685983445492
2003	75.785313876176701
2004	42.841886336857797
2005	66.796354390292109
2006	63.287455229346683
2007	68.663725805614135
2008	32.587737439677639
2009	38.691640359115802
2010	75.269328768879689
