xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03
cpt:Y	29.937500000000000
cpt:X	-97.812500000000000
1957	38.440304971287830
1958	67.349395419945409
1959	63.848397848995575
1960	56.123170566493805
1961	64.951982044446893
1962	34.657448529072141
1963	44.305036145690707
1964	57.466814858545419
1965	45.309622023598365
1966	62.425631847095431
1967	34.533321551364033
1968	23.262767463861334
1969	47.468278134176686
1970	19.660891482771966
1971	15.438502743749012
1972	38.640492937618887
1973	55.393270324566018
1974	38.778089727439820
1975	33.890295741102449
1976	31.912650228567710
1977	83.741176015140383
1978	58.399368066447892
1979	58.245612173129011
1980	71.182056487331749
1981	49.775250041619529
1982	49.137086206209709
1983	51.836618649199693
1984	63.610810605139569
1985	17.681748255531488
1986	45.951566006227338
1987	65.605195522877850
1988	70.922499696371034
1989	57.826641839679006
1990	58.247400772470243
1991	64.315706487361012
1992	65.018813480373879
1993	82.515909155968231
1994	58.822808279089557
1995	74.463727464678556
1996	52.887734359891226
1997	63.618362924483364
1998	71.667026414699706
1999	30.114450219836755
2000	52.699324662221471
2001	47.914662509046195
2002	64.723816689229452
2003	66.525838570083138
2004	58.436885572903272
2005	58.221307175180861
2006	45.107061396805605
2007	64.669585612264015
2008	51.979732220548520
2009	57.212204413008998
2010	76.199810162965065
