xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12
cpt:Y	30.187500000000000
cpt:X	-98.187500000000000
1957	97.481007511247498
1958	53.558037339091449
1959	20.930549428896768
1960	25.239962220917995
1961	47.695593785457838
1962	31.455349141080049
1963	68.689128643795357
1964	38.526951820515258
1965	122.88036279738735
1966	49.772488175276095
1967	56.854511232446498
1968	71.772556485958532
1969	57.681246377894190
1970	50.732437846592610
1971	65.911377142947600
1972	96.246723795208794
1973	18.536897265264827
1974	18.582227131300449
1975	32.476762381928935
1976	96.259506198498997
1977	62.472602223069835
1978	49.896307246236503
1979	60.139884558248077
1980	56.923850714149779
1981	54.014925698761502
1982	71.660129093785514
1983	40.660005316494079
1984	23.385574700613091
1985	63.404376739950280
1986	82.303110693864880
1987	56.198836899089223
1988	16.607124479850704
1989	53.467230019244525
1990	61.423039838901637
1991	79.007299444293579
1992	52.114391883359843
1993	68.588721109034196
1994	92.586434838258924
1995	41.162914285032556
1996	69.519646810982465
1997	77.339560748343700
1998	35.699793822506777
1999	27.668186496274853
2000	53.449424795453425
2001	34.117839160927566
2002	94.124098608866490
2003	58.817741659963787
2004	64.315606337843306
2005	70.085454669045873
2006	66.818465774013987
2007	23.238554460232670
2008	32.540563250204812
2009	75.508296776421744
2010	6.0646548167294725
