xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11
cpt:Y	29.562500000000000
cpt:X	-97.937500000000000
1957	82.540574540435657
1958	65.596208036850271
1959	62.674356782212698
1960	46.448444684936831
1961	58.069188639890612
1962	62.896891973832005
1963	86.270644131541275
1964	62.838358097700521
1965	93.350798156744730
1966	52.255281241148836
1967	77.400214254358218
1968	60.738984477585085
1969	71.702925173688655
1970	53.830700034374132
1971	76.039097426233113
1972	92.488925518654341
1973	27.476121294490021
1974	61.419462064671379
1975	37.964854533408555
1976	68.749402371607388
1977	63.297151860217738
1978	72.725736642183307
1979	67.607320727706764
1980	75.675340281996625
1981	64.125413450533358
1982	97.672351427621038
1983	66.512307498742786
1984	48.491766673917567
1985	73.720348603906189
1986	81.313412892513014
1987	87.831669236514159
1988	42.329274674404147
1989	65.009405008742760
1990	68.085890919672991
1991	85.745729715300143
1992	79.510216284670065
1993	86.473187344973084
1994	110.03874775551002
1995	56.609533999786962
1996	59.389482280117257
1997	80.727351610462023
1998	49.644628733918637
1999	18.925033464738547
2000	54.406767355417273
2001	52.821041759313580
2002	72.928278028710281
2003	59.443862945507171
2004	70.936628153807305
2005	62.151306711528335
2006	52.705089296517542
2007	57.313008098011331
2008	65.909462453373678
2009	96.512842378267294
2010	35.981653645841511
