xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04
cpt:Y	30.312500000000000
cpt:X	-97.812500000000000
1957	62.635512973377047
1958	66.772975153987886
1959	63.978463918224961
1960	60.849611448362609
1961	74.334109224161949
1962	69.996861909548400
1963	80.372309469403291
1964	63.185003133079213
1965	73.445416303140945
1966	56.804759062932874
1967	79.645838497908983
1968	59.505912962429456
1969	61.044104606227300
1970	61.683045331197860
1971	75.930493479599392
1972	57.384198755126619
1973	61.815033553607833
1974	88.206786557014823
1975	61.057160303436191
1976	60.621685690295649
1977	65.587487070369349
1978	62.687551559224737
1979	61.648921038481383
1980	85.160912490225570
1981	69.877533877859875
1982	71.372671378697845
1983	77.565236774637853
1984	61.530608484163096
1985	78.957243673983996
1986	72.952030585879939
1987	59.503231847369022
1988	69.467652650966613
1989	71.923267619529895
1990	62.257555050540795
1991	66.658845274979043
1992	70.200258354381575
1993	94.283744868150322
1994	132.86396525170528
1995	78.122279003332110
1996	56.474309925504535
1997	48.854830192499804
1998	56.425337866628503
1999	90.543304285175424
2000	79.746360580711979
2001	87.432456940093800
2002	73.857818534221934
2003	64.730091780545834
2004	81.947835769511101
2005	60.156927540667809
2006	63.363607933195844
2007	65.897870377512220
2008	63.022689351063704
2009	91.093068246263741
2010	52.347508781720514
