xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08
cpt:Y	29.312500000000000
cpt:X	-98.312500000000000
1957	55.363951991763400
1958	74.595006736053833
1959	73.233613880634067
1960	70.772112280247114
1961	49.029654470543271
1962	73.737970627633217
1963	46.472191841434821
1964	51.090070996225634
1965	34.056722924370234
1966	34.445795364597600
1967	60.298419001905934
1968	74.014711632600182
1969	77.586543577062344
1970	89.979131437174814
1971	51.305947159230016
1972	44.513977550525240
1973	70.692363200216917
1974	58.425167926455529
1975	78.620044221856233
1976	46.558192414471009
1977	70.202774559857289
1978	74.434998133952007
1979	50.995798601975210
1980	54.021175506449808
1981	67.634537655327961
1982	45.971989350929668
1983	49.478564713541189
1984	74.575050078276547
1985	60.919800943534220
1986	49.409670808952455
1987	50.952444286939581
1988	82.096545332325661
1989	65.326507532311950
1990	36.480303818939156
1991	42.707276946663562
1992	42.769818863847028
1993	61.328942116816663
1994	62.414441022419886
1995	75.777536756968203
1996	62.039717420402802
1997	42.576743361139677
1998	64.585319366430284
1999	82.687755576163525
2000	94.246790343069449
2001	75.508024843875504
2002	36.286416843098841
2003	69.803487406381834
2004	81.033800085277250
2005	61.351178275274165
2006	43.894556157641411
2007	67.165139489807231
2008	83.284029211371006
2009	39.805922226988699
2010	96.230433066568878
