xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	06
cpt:Y	29.687500000000000
cpt:X	-97.687500000000000
1957	99.710795568871902
1958	142.96616105667013
1959	107.00656456769089
1960	100.85613224154824
1961	110.89599291273545
1962	100.25957593496076
1963	128.72077329206718
1964	122.30266276740117
1965	76.622271001911628
1966	107.77239315121155
1967	101.27859172315790
1968	113.66298056921593
1969	104.72034830621625
1970	116.44612720364162
1971	95.752246839425538
1972	122.45166821728027
1973	102.13630757925736
1974	83.535365840588014
1975	100.90078442211511
1976	90.219470828626200
1977	140.72958178349967
1978	84.196563075656826
1979	125.83652221880786
1980	72.737650916846491
1981	109.58792372693718
1982	95.453651622675210
1983	103.04807502833872
1984	102.00330822190377
1985	89.435818359864598
1986	117.05506459373970
1987	107.14601447456555
1988	112.27627708667384
1989	93.896165292545930
1990	105.91876695333133
1991	116.13567116259073
1992	127.91450377920768
1993	131.00687904563392
1994	133.40693930802954
1995	202.62111447656324
1996	85.910692745244717
1997	104.97144418343258
1998	131.43379823167237
1999	138.96698939493044
2000	105.30094314956440
2001	74.267843690113494
2002	117.41524084120952
2003	79.828835468632690
2004	80.285432486742337
2005	109.48908556770947
2006	100.85635338933234
2007	121.05668377946320
2008	104.24306856570155
2009	109.99384284870429
2010	98.305496289354465
