xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11
cpt:Y	29.312500000000000
cpt:X	-97.937500000000000
1957	88.212226189339759
1958	68.149347033206823
1959	56.418863113198668
1960	56.988116107372306
1961	56.638430386039495
1962	61.915842465801830
1963	94.883059751900404
1964	46.640471556718396
1965	94.562419096917722
1966	66.505531467223932
1967	62.638577849209113
1968	52.312345771090392
1969	58.075171169411810
1970	64.059179726222411
1971	51.685806987522788
1972	68.190511431913023
1973	70.509908705747677
1974	49.171049963887732
1975	37.919135786259467
1976	76.367008305462207
1977	51.559787304192845
1978	72.129189270586878
1979	66.627187904758188
1980	68.325022888504762
1981	61.790561156699674
1982	81.588247642784353
1983	46.530901090707751
1984	46.264785373768319
1985	60.257881323116820
1986	114.29719760945562
1987	89.425602384890965
1988	51.360514303746804
1989	60.099281307529822
1990	82.920438895748788
1991	77.049859291032774
1992	77.287703948016770
1993	62.383923170624399
1994	76.220518236403436
1995	56.432672330050579
1996	76.355753659913262
1997	89.546227054798436
1998	43.834130195842292
1999	39.927120075446112
2000	66.805661138092034
2001	60.938999031119714
2002	73.514429597161211
2003	52.480486139645706
2004	91.897988498913307
2005	81.262618611916139
2006	89.036410744782287
2007	60.476139269295984
2008	40.109621549672518
2009	72.731088722819791
2010	42.649769664478903
