xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08
cpt:Y	29.812500000000000
cpt:X	-98.687500000000000
1957	73.955216233435237
1958	72.875403766557028
1959	62.087818873169148
1960	85.269255384416979
1961	73.259311900449561
1962	74.501818264513247
1963	73.436787276663381
1964	83.056516030026827
1965	85.211328044352442
1966	65.698332580533872
1967	56.050225870527626
1968	70.753748823172813
1969	65.524074875014435
1970	44.868634066923129
1971	64.386263647575419
1972	84.657539434877208
1973	66.725174897450216
1974	77.697520528748754
1975	70.177774901709924
1976	84.580657291588182
1977	67.282104012470342
1978	87.407971500881686
1979	83.580406386734808
1980	81.109823498563685
1981	73.462702729606221
1982	76.086588463153589
1983	77.154894659104897
1984	87.722244959516487
1985	72.449869361401099
1986	108.51365754542434
1987	89.935318863078948
1988	63.923102949602921
1989	80.698472319720665
1990	74.004947896886776
1991	98.971503870274887
1992	90.932355995631951
1993	75.520555612900424
1994	64.143622911496891
1995	89.247450858147914
1996	89.055678713635643
1997	86.553600226802047
1998	72.173185003068809
1999	73.364517072984270
2000	82.255544575481750
2001	76.331176102995187
2002	83.657630809727550
2003	80.376553912387095
2004	74.748711628055062
2005	55.563544220054638
2006	27.907839025019939
2007	64.507495461203703
2008	95.522543833541235
2009	66.341212397252406
2010	91.727556339347871
