xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03
cpt:Y	29.937500000000000
cpt:X	-98.437500000000000
1957	57.532206504818454
1958	60.790013207015377
1959	61.169468930187122
1960	57.036673648086676
1961	58.176966361069354
1962	56.451534964182663
1963	69.465678894063927
1964	57.585644539551588
1965	59.112761186326757
1966	54.661416986862299
1967	60.154185649596947
1968	57.986579479594546
1969	54.302408335486824
1970	56.991236422268770
1971	55.881904766098927
1972	59.469700397079606
1973	63.629676779845120
1974	69.919120331882681
1975	60.640738012833943
1976	55.023319524953742
1977	64.095450466822570
1978	66.236941911861493
1979	53.425922132696236
1980	46.155349608891640
1981	57.107812925911631
1982	51.234152307531112
1983	58.024826874028030
1984	50.995057607729905
1985	54.269876883807356
1986	57.409136372370014
1987	65.712201145916978
1988	62.503938941760715
1989	58.444016372808491
1990	57.577739492503625
1991	53.642259413040222
1992	51.939232163683762
1993	65.746023575050714
1994	51.965206322097607
1995	62.047094890615647
1996	50.464907336943725
1997	52.714169891395002
1998	51.656986528877574
1999	55.208700938723481
2000	52.017408715426988
2001	59.206215582817173
2002	56.721793038059218
2003	65.471939852221297
2004	57.227096480482402
2005	63.827927602799349
2006	50.497675126254798
2007	54.906205787591261
2008	50.320645408168431
2009	64.504359151367083
2010	62.810829508341627
