xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	03
cpt:Y	30.062500000000000
cpt:X	-98.312500000000000
1957	57.502956129658735
1958	57.963155711637881
1959	55.325696485070509
1960	60.003591699784188
1961	60.025397797004587
1962	60.462858369969915
1963	62.971043208414393
1964	59.536553783320656
1965	58.541765311496292
1966	56.275456054014114
1967	58.599676328975093
1968	55.717442006418132
1969	49.951867894564280
1970	55.209656466081924
1971	57.494008708392869
1972	57.587979846338513
1973	65.513824268063985
1974	65.208307413143402
1975	56.558104182476953
1976	59.682603536529669
1977	59.713981376022097
1978	61.368413277991777
1979	53.250241071547052
1980	45.500635137973980
1981	56.077657243685579
1982	55.184077674391901
1983	58.248914561231786
1984	54.242508321980395
1985	55.281814428455853
1986	55.589817982036422
1987	59.209178814779605
1988	60.693013969907419
1989	58.674984474154655
1990	56.791718456009320
1991	54.836012345522576
1992	49.053087044721103
1993	59.138626903528660
1994	55.791241756115760
1995	59.668327686916349
1996	55.871956169081997
1997	56.646843156595587
1998	57.889696210508994
1999	58.518010821039226
2000	55.849640134371626
2001	58.353899856671276
2002	58.708673919781283
2003	64.711685044511654
2004	61.291303522154017
2005	62.708077761301126
2006	58.276325364755785
2007	56.013183627332907
2008	52.952103802841258
2009	62.834606355378362
2010	54.679522127128173
