xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08
cpt:Y	29.312500000000000
cpt:X	-98.062500000000000
1957	37.076729948409074
1958	51.742902697750168
1959	50.631468287835133
1960	67.862782832050939
1961	69.380551022275483
1962	74.329562118603576
1963	54.604138110125568
1964	73.752530062248496
1965	61.098125343738033
1966	68.033700301549061
1967	41.644357257023003
1968	67.970776805737103
1969	35.546441847052876
1970	73.242021432407199
1971	64.831535796341015
1972	42.608365011478128
1973	80.115238000304501
1974	61.290913645412509
1975	69.515233508175825
1976	77.130672059764947
1977	80.337775725612445
1978	53.939647528923757
1979	58.952964873853041
1980	51.666135098302611
1981	62.951046600637198
1982	45.331741779926553
1983	60.422883671105730
1984	77.028622226399619
1985	65.011870767999909
1986	50.499013221202382
1987	9.0698192333403185
1988	84.315818226059676
1989	74.008518079049338
1990	59.791345307544717
1991	60.742561386875373
1992	44.593242692257668
1993	32.755331213554534
1994	27.523125161720714
1995	70.708487085168755
1996	65.652519031574641
1997	49.115624929028961
1998	76.430110889868132
1999	74.784561355010922
2000	83.910439597825231
2001	71.483215626791662
2002	50.292461951986944
2003	71.516310821661406
2004	60.168989532352604
2005	56.393875425205366
2006	59.552992981236095
2007	95.683906981574268
2008	76.161130428189011
2009	33.440946426768718
2010	98.736470193871469
