xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04
cpt:Y	29.562500000000000
cpt:X	-97.812500000000000
1957	86.397785567959176
1958	60.739571017784911
1959	39.615216728337977
1960	70.500301785914246
1961	43.980759539180525
1962	111.04889904572156
1963	93.652883542862867
1964	83.784731017548950
1965	60.452601722125422
1966	66.518887728413588
1967	55.864695948478655
1968	81.169477364687665
1969	87.049041283370599
1970	75.837457745134671
1971	55.504880442975249
1972	80.669572413580866
1973	98.509396158082467
1974	83.685362252989108
1975	66.684975065983920
1976	71.263656135844528
1977	85.475372574279533
1978	65.862913957857501
1979	68.289436699057049
1980	109.95867515224286
1981	83.960667596230437
1982	61.575204419297378
1983	82.658769254539521
1984	81.923194369264110
1985	84.848080784879016
1986	76.743270668487767
1987	92.769632090375936
1988	87.891215228009543
1989	107.04937218734740
1990	68.232437751890515
1991	64.211575528077873
1992	50.944120705597442
1993	35.712663185801922
1994	80.442279104225065
1995	94.965476109612425
1996	69.088147667171967
1997	93.282450312134600
1998	78.959897412427537
1999	95.003446859919450
2000	79.054649515954409
2001	92.227558874821867
2002	91.110172105598508
2003	69.043360115908982
2004	55.183425787232252
2005	47.099270495771336
2006	40.373145458089489
2007	76.094839225609192
2008	104.45778152431893
2009	96.489423980515241
2010	86.046700305862743
