xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12
cpt:Y	29.437500000000000
cpt:X	-98.062500000000000
1957	49.653908676861121
1958	69.249653878057813
1959	45.970238647358030
1960	41.053555750216688
1961	63.497942638347681
1962	28.156642326841062
1963	72.281192541970384
1964	5.9995402328172602
1965	100.45853826518292
1966	53.169501245434617
1967	39.758604179962397
1968	21.030903252198296
1969	57.340823557097352
1970	41.620383411415055
1971	30.786989405476593
1972	95.922003734467012
1973	-12.081358545857064
1974	-10.428960048471204
1975	-3.8823091143019468
1976	68.375133104255127
1977	75.353578361464614
1978	33.761311777116433
1979	73.265490293625007
1980	37.864970564960004
1981	60.637794797060998
1982	74.203324198653178
1983	31.892630213854201
1984	40.955830677122634
1985	38.546583484859084
1986	79.648808166198535
1987	59.583401735498960
1988	2.1429337733124072
1989	48.885976280626679
1990	52.068065061045367
1991	83.092758094004182
1992	88.024838533368779
1993	87.693842121943248
1994	87.089269673879414
1995	37.618558357662366
1996	66.732063727792905
1997	58.223438741290408
1998	9.2871674951200802
1999	8.1024200403963320
2000	36.627708850046915
2001	75.624793298196238
2002	93.062667879209584
2003	58.507860495893510
2004	59.680955157509928
2005	54.958064447969988
2006	52.042000031641976
2007	9.0893667676596692
2008	31.472524420122600
2009	64.503787071393248
2010	0.42153731878013190
