xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11
cpt:Y	29.437500000000000
cpt:X	-97.437500000000000
1957	87.771851850161653
1958	69.953546667427432
1959	66.548050102067876
1960	49.298968424923096
1961	62.132202555282220
1962	68.395619338856406
1963	94.038067461495928
1964	68.310190794771032
1965	95.485551871824356
1966	57.774064836491114
1967	85.455707808489834
1968	68.050823662810032
1969	78.591316635480553
1970	58.911976865217838
1971	82.188865639725492
1972	100.02506173803870
1973	32.105383710938483
1974	67.148116244034085
1975	42.281941128934136
1976	73.558402194245858
1977	69.702557850904810
1978	79.960440424244069
1979	74.484322054653347
1980	81.365882181923297
1981	69.325589340068518
1982	103.03905384226485
1983	71.267545406487756
1984	52.858940304197468
1985	77.688936089078155
1986	83.927386410289017
1987	91.164494482114321
1988	46.887120158901077
1989	70.635788683727469
1990	73.506954366641224
1991	90.503489595013747
1992	83.512567740711731
1993	91.272593383019966
1994	117.07158727707588
1995	61.555518260694740
1996	64.262021294966800
1997	85.937872571473022
1998	51.660108495542161
1999	17.967083591088304
2000	60.639987079107492
2001	58.123901590913405
2002	78.302744943852318
2003	64.713728447487341
2004	77.913683141170935
2005	68.510011227100591
2006	54.622506731228860
2007	59.402458062226245
2008	68.613514792559442
2009	103.53279122687923
2010	37.674670857818100
