xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01
cpt:Y	29.812500000000000
cpt:X	-98.312500000000000
1957	40.141298430419546
1958	63.189207682550119
1959	47.311365524623866
1960	40.761929489221053
1961	73.119825908552599
1962	55.514898085506800
1963	47.886086717056017
1964	69.186431633381218
1965	75.627232875101754
1966	48.294730026625032
1967	50.926972446637457
1968	56.132069476800652
1969	72.816941849399157
1970	64.366892258786393
1971	35.878542405644616
1972	79.105773721090401
1973	55.203988436517022
1974	23.747246846851993
1975	60.526689099664388
1976	36.199996578711016
1977	50.563014282335544
1978	54.234484451318380
1979	52.716474134118201
1980	63.543344211860422
1981	66.255246119715679
1982	59.252347710168898
1983	53.279422289460477
1984	24.642069853148449
1985	51.669509546464823
1986	32.730630795655173
1987	51.661423870042178
1988	27.482161740808785
1989	39.928552534438353
1990	57.743417199659142
1991	21.052240886674046
1992	47.293181680919872
1993	66.516046785803795
1994	12.882644659894595
1995	47.405087432907777
1996	30.481055631857135
1997	38.005736912167322
1998	57.858655912073104
1999	25.506845861733101
2000	21.840320010992588
2001	66.629154376236301
2002	42.895645245854460
2003	57.603630748444587
2004	65.757922249654143
2005	64.003994491500535
2006	52.063568861874110
2007	62.553211090847284
2008	-4.6307889686601200
2009	71.728500834380156
2010	62.414218848374524
