xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	09
cpt:Y	29.687500000000000
cpt:X	-98.187500000000000
1957	96.209259028620693
1958	88.794336394665748
1959	88.030347464517646
1960	91.391096642354455
1961	86.892728563064296
1962	94.268248932237483
1963	97.973349894961643
1964	89.650573953623450
1965	99.509161021460244
1966	89.098292312612500
1967	91.144618276564699
1968	98.142722263259216
1969	88.789014985557401
1970	84.588544311216992
1971	84.745443511343069
1972	111.18374976857721
1973	72.940123102907464
1974	98.609221328148877
1975	89.602757566453590
1976	95.467005548741270
1977	87.434492917647148
1978	94.190335226229124
1979	90.085131744077529
1980	85.741304656611049
1981	93.098621297571341
1982	97.203467473108304
1983	96.026116803532389
1984	84.793493852964133
1985	94.966439018682095
1986	94.533105178647986
1987	105.37873681113130
1988	84.950300237910994
1989	88.655805444524020
1990	94.720913281033162
1991	112.02976871887225
1992	121.05833201096050
1993	115.63840175304931
1994	101.39905605656321
1995	98.234490936710884
1996	101.61565550204075
1997	99.082508365527488
1998	83.844018311653812
1999	83.907194620784935
2000	96.656153599751661
2001	94.770641091148946
2002	96.827989147466923
2003	88.176485367698803
2004	107.93035230076275
2005	91.977060446777671
2006	95.438013446632084
2007	87.697712857924813
2008	92.489168749079468
2009	111.31893380438102
2010	70.023660971978757
