xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	04
cpt:Y	29.312500000000000
cpt:X	-98.687500000000000
1957	63.795312765030239
1958	75.079326653338541
1959	54.662973024593228
1960	49.783411091828611
1961	51.655933797070340
1962	51.907165360208047
1963	69.959886714451372
1964	42.143255559652118
1965	88.460411375271761
1966	80.652974145302124
1967	53.040467168765232
1968	60.571389231510310
1969	73.486632248885826
1970	61.565917540377797
1971	64.565870589027966
1972	85.573112601544707
1973	71.252773520517891
1974	51.414631483790259
1975	46.128092632619456
1976	58.499132372654017
1977	71.518894598861635
1978	59.144103479176756
1979	64.128441044313661
1980	70.253744335280032
1981	65.322133030417788
1982	58.712604645376629
1983	73.544311686881841
1984	60.341220087638966
1985	64.502648061077835
1986	70.177820639277002
1987	71.116170483411281
1988	56.661315232565379
1989	50.233586577236679
1990	64.538056231897158
1991	68.337091843545636
1992	73.075220958257077
1993	69.426055397522475
1994	78.858794492138770
1995	66.414305368167177
1996	60.068072925365570
1997	54.277836814262848
1998	63.195858090560172
1999	48.134847710618644
2000	54.270982386450569
2001	66.624926654815226
2002	75.696673342871890
2003	58.486800081800247
2004	64.009170061269444
2005	58.298347788403504
2006	51.157478117355311
2007	70.098883617723274
2008	26.602571873465621
2009	65.149311638773440
2010	55.305299986104714
