xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01
cpt:Y	30.312500000000000
cpt:X	-97.562500000000000
1957	71.118363862107870
1958	66.082439080002587
1959	53.169927194895969
1960	57.830132484467818
1961	69.978975923930747
1962	58.945623063104350
1963	69.223374573394921
1964	55.635482546691456
1965	57.282168904151241
1966	55.127086505369675
1967	61.322943766741723
1968	54.413955903614912
1969	62.814064704744453
1970	66.484373603675834
1971	62.375020993821806
1972	69.528252702088395
1973	57.390621638410792
1974	44.729957273485674
1975	48.348260744453768
1976	47.210308334333348
1977	60.256174153646029
1978	47.396114596214829
1979	62.841523658046867
1980	51.675037172563776
1981	58.821449923543057
1982	62.311670018308511
1983	64.699194845393109
1984	59.433651950876637
1985	49.254078372645147
1986	58.008277380473416
1987	76.820185627380383
1988	64.371353229695785
1989	21.064841486508072
1990	48.707459719536601
1991	56.009884224278629
1992	51.614085828563411
1993	36.977409325980425
1994	56.567458969334638
1995	61.584019589952952
1996	68.497127199765970
1997	59.252590864144153
1998	61.965142440162651
1999	53.674903519797262
2000	60.786459439676761
2001	54.928307251478785
2002	55.550467165900969
2003	62.618214500840423
2004	55.933561707010725
2005	67.069903903206878
2006	62.638585363101150
2007	64.307239016972758
2008	55.203539876259399
2009	43.992753216278345
2010	68.746343112659673
