xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	12
cpt:Y	29.562500000000000
cpt:X	-97.437500000000000
1957	65.565767485187095
1958	66.841114010323366
1959	55.454569707983168
1960	50.217298131888299
1961	57.558959929024290
1962	60.359420627480993
1963	98.031676761073626
1964	41.310346975647576
1965	87.565068763755306
1966	70.954412274868957
1967	52.249875752940270
1968	60.259910718358434
1969	67.384710657313974
1970	52.138893768155299
1971	58.208220931386229
1972	110.54715343815982
1973	33.840195362554482
1974	40.944435292678158
1975	36.161326466909046
1976	77.182203675849465
1977	65.217096601663073
1978	43.945349428730168
1979	42.786362172801617
1980	63.762617927572720
1981	57.072932096617571
1982	76.154124257937625
1983	34.746813892442717
1984	35.443072498377404
1985	54.581674822512134
1986	86.002754614350948
1987	57.956385151732214
1988	48.998723166431496
1989	65.406524058496331
1990	45.823634797591879
1991	67.853005612851248
1992	61.302382466814670
1993	74.174307646856818
1994	65.297505222698874
1995	39.310864890535711
1996	70.320309214235010
1997	71.444008129993605
1998	38.580540216789885
1999	40.885535898778258
2000	50.256778839984449
2001	65.597627138384979
2002	63.313251249688832
2003	66.332875770206641
2004	58.968973641878030
2005	63.685804015743145
2006	66.846136010808792
2007	55.343794084178988
2008	36.150783808426425
2009	66.777788662711558
2010	33.949977494896302
