xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	01
cpt:Y	30.187500000000000
cpt:X	-97.687500000000000
1957	70.201740759864919
1958	60.213382453644662
1959	57.261359838779356
1960	51.781333362504668
1961	52.520068773279945
1962	46.616495091310291
1963	57.450567402262159
1964	57.159808634495654
1965	50.996004016983832
1966	61.628413637395468
1967	49.638358204504534
1968	58.416413274740634
1969	52.542675475107679
1970	57.375553391393531
1971	55.342835314052060
1972	65.419624250449615
1973	60.095693231894792
1974	38.043141389983504
1975	59.953734942048442
1976	50.570931859570763
1977	65.898906753407758
1978	51.548958441434976
1979	52.527232966862741
1980	47.457187429947012
1981	61.589660009404177
1982	60.219281430123196
1983	83.100383268682265
1984	35.136419168549352
1985	44.624266593796726
1986	54.883164004574418
1987	66.620792583027210
1988	54.484304338665474
1989	40.529078441010903
1990	54.069708048352936
1991	54.191099169775384
1992	53.130877227312801
1993	57.459620995544029
1994	51.837995409585808
1995	65.364504417136743
1996	57.278147986516906
1997	57.500303815770188
1998	69.122519541242823
1999	36.580576774208687
2000	44.109657181021603
2001	61.043231355826258
2002	43.448108667929489
2003	67.123561417187602
2004	48.283525024859941
2005	58.012218651113422
2006	54.938174697530968
2007	55.554056061577462
2008	47.931419418025961
2009	52.750832362025974
2010	54.080781434765967
