xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	08
cpt:Y	30.062500000000000
cpt:X	-98.812500000000000
1957	53.039453062156483
1958	93.010617196795479
1959	9.8012656730719669
1960	89.049161120826966
1961	33.196026768899337
1962	99.550445370574380
1963	76.773143689576131
1964	76.709276544651487
1965	46.031188484482939
1966	76.239209086527936
1967	69.130456843939882
1968	105.33240179252753
1969	76.042355433381758
1970	72.503416543122185
1971	72.506526142307152
1972	66.721335278211910
1973	63.007655809175489
1974	79.431459046742702
1975	51.663735858768689
1976	79.475627242502199
1977	86.799340351607952
1978	60.948097668184090
1979	98.010391780193032
1980	80.816576055369268
1981	75.737673060588108
1982	43.064663749749975
1983	89.026441380729068
1984	70.165895409478352
1985	64.206452068873872
1986	64.570382259918446
1987	126.82141442908031
1988	51.698945387287814
1989	48.665784655521492
1990	53.537536513376999
1991	45.649215935302799
1992	53.965690213296483
1993	52.073682392662057
1994	69.292319893885931
1995	112.96912943001732
1996	6.5458815688322218
1997	8.6940862526201101
1998	107.12244971728879
1999	56.563925964937575
2000	63.241880143208533
2001	87.353724595622992
2002	55.386779617465180
2003	72.653324508073140
2004	57.005656021378712
2005	77.495991073020917
2006	63.823893219896377
2007	90.690339165246769
2008	65.926740676202243
2009	53.414792565419177
2010	97.628510985044514
