xmlns:cpt=http://iri.columbia.edu/CPT/v10/
cpt:nfields=1
cpt:field=undefined, cpt:nrow=54, cpt:ncol=1, cpt:row=T, cpt:col=station, cpt:units=none, cpt:missing=-999.00000000000000               
	11
cpt:Y	29.687500000000000
cpt:X	-98.187500000000000
1957	72.601340752607527
1958	47.679359097936555
1959	50.601604494483780
1960	51.172301780904277
1961	40.352371228410760
1962	57.680888133794454
1963	68.327939946796732
1964	57.886810477776464
1965	63.296688455093530
1966	61.052092275024151
1967	77.782934873532170
1968	72.791030347468023
1969	59.182155200606644
1970	69.664306063443135
1971	74.137882149326146
1972	67.270925257047992
1973	50.265194012163434
1974	73.020270645604668
1975	53.523348284515819
1976	75.552377954493323
1977	67.543533964649654
1978	64.393864676006643
1979	49.815676338215326
1980	58.959340755775486
1981	62.091923754568001
1982	77.393373470360928
1983	54.998790447722293
1984	47.362381704531202
1985	73.302209884963119
1986	103.52338105021596
1987	70.785038894000522
1988	53.330934493473180
1989	75.620756923634460
1990	69.854059283954371
1991	85.326814265014605
1992	91.861924830625597
1993	77.778668898380928
1994	101.75080395553690
1995	66.652073921675097
1996	78.613222853493312
1997	78.080540486706752
1998	54.799416003343396
1999	56.544908425416892
2000	62.726549801281791
2001	65.894639631159080
2002	76.801522085333886
2003	63.385945359909478
2004	63.688856914061112
2005	62.229418315134907
2006	73.882791552426340
2007	67.967782435286836
2008	71.115420682288814
2009	68.313706904586539
2010	56.872666059136677
