X Y
-101.2500 26.51077
-101.2500 29.30136
-101.2500 32.09194
-95.62500 26.51077
-95.62500 29.30136
-95.62500 32.09194
-98.43750 26.51077
-98.43750 29.30136
-98.43750 32.09194
